order_id,order_date,customer_id,product_name,quantity,product_id,product_price
QEV-37451-860,05-09-2019,17670-51384-MA,R-M-1,2,1,2237
QEV-37451-860,05-09-2019,17670-51384-MA,E-M-0.5,5,2,1300
FAA-43335-268,17-06-2021,21125-22134-PX,A-L-1,1,3,2139
KAC-83089-793,15-07-2021,23806-46781-OU,E-M-1,2,4,1954
KAC-83089-793,15-07-2021,23806-46781-OU,R-L-2.5,2,5,1651
CVP-18956-553,04-08-2021,86561-91660-RB,L-D-1,3,6,1170
IPP-31994-879,21-01-2022,65223-29612-CB,E-D-0.5,3,7,2757
SNZ-65340-705,20-05-2022,21134-81676-FR,L-L-0.2,1,8,1086
EZT-46571-659,02-01-2019,03396-68805-ZC,R-M-0.5,3,9,596
NWQ-70061-912,05-09-2019,61021-27840-ZN,R-M-0.5,1,9,596
BKK-47233-845,08-03-2021,76239-90137-UQ,A-D-1,4,10,2272
VQR-01002-970,28-10-2020,49315-21985-BB,E-L-2.5,5,11,2906
SZW-48378-399,02-07-2022,34136-36674-OM,R-M-1,5,1,2237
ITA-87418-783,22-05-2020,39396-12890-PE,R-D-2.5,2,12,1778
GNZ-46006-527,05-04-2022,95875-73336-RG,L-D-0.2,3,13,2568
FYQ-78248-319,07-06-2022,25473-43727-BY,R-M-2.5,5,14,2804
VAU-44387-624,20-03-2019,99643-51048-IQ,A-M-0.2,6,15,1330
RDW-33155-159,19-10-2019,62173-15287-CU,A-L-1,6,3,2139
TDZ-59011-211,13-06-2019,57611-05522-ST,R-D-2.5,4,12,1778
IDU-25793-399,04-12-2020,76664-37050-DT,A-M-0.2,5,15,1330
IDU-25793-399,04-12-2020,76664-37050-DT,E-D-0.2,4,16,400
NUO-20013-488,04-12-2020,03090-88267-BQ,A-D-0.2,6,17,1914
UQU-65630-479,22-01-2021,37651-47492-NC,R-M-2.5,4,14,2804
FEO-11834-332,11-02-2022,95399-57205-HI,A-D-0.2,4,17,1914
TKY-71558-096,15-09-2021,24010-66714-HW,A-M-1,1,18,1051
OXY-65322-253,24-10-2020,07591-92789-UA,E-M-0.2,3,19,1527
EVP-43500-491,20-02-2019,49231-44455-IC,A-M-0.5,4,20,737
WAG-26945-689,08-10-2019,50124-88608-EO,A-M-0.2,5,15,1330
CHE-78995-767,02-08-2022,00888-74814-UZ,A-D-0.5,3,21,1350
RYZ-14633-602,20-02-2019,14158-30713-OB,A-D-1,4,10,2272
WOQ-36015-429,25-09-2021,51427-89175-QJ,L-M-0.2,5,22,394
WOQ-36015-429,25-09-2021,51427-89175-QJ,A-D-0.5,6,21,1350
WOQ-36015-429,25-09-2021,51427-89175-QJ,L-M-0.5,6,23,1438
SCT-60553-454,17-07-2021,39123-12846-YJ,L-L-0.2,5,8,1086
GFK-52063-244,29-06-2020,44981-99666-XB,L-L-0.5,6,24,2457
AMM-79521-378,01-06-2021,24825-51803-CQ,A-D-0.5,6,21,1350
QUQ-90580-772,06-02-2021,77634-13918-GJ,L-M-0.2,2,22,394
LGD-24408-274,25-04-2019,13694-25001-LX,L-L-0.5,3,24,2457
HCT-95608-959,25-04-2020,08523-01791-TI,R-M-2.5,5,14,2804
OFX-99147-470,24-11-2021,49860-68865-AB,R-M-1,6,1,2237
LUO-37559-016,19-04-2021,21240-83132-SP,L-M-1,3,25,740
XWC-20610-167,07-07-2022,08350-81623-TF,E-D-0.2,2,16,400
GPU-79113-136,22-05-2019,73284-01385-SJ,R-D-0.2,3,26,830
ULR-52653-960,04-10-2021,04152-34436-IE,L-L-2.5,2,27,1514
HPI-42308-142,11-04-2020,06631-86965-XP,E-M-0.5,2,2,1300
XHI-30227-581,31-01-2022,54619-08558-ZU,L-D-2.5,6,28,2578
DJH-05202-380,07-11-2019,85589-17020-CX,E-M-2.5,2,29,1253
VMW-26889-781,28-06-2019,36078-91009-WU,A-L-0.2,2,30,1367
DBU-81099-586,11-09-2020,15770-27099-GX,A-D-2.5,4,31,1017
PQA-54820-810,17-08-2022,91460-04823-BX,A-L-1,3,3,2139
